GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemWebSpringBoot,za.ac.nwu.as.web.sb.config,SwaggerConfiguration,40,0,0,0,10,0,3,0,3,0
AccountSystemWebSpringBoot,za.ac.nwu.as.web.sb.config,WebConfig,3,0,0,0,1,0,1,0,1,0
AccountSystemWebSpringBoot,za.ac.nwu.as.web.sb,RestServiceApplication,8,0,0,0,3,0,2,0,2,0
AccountSystemWebSpringBoot,za.ac.nwu.as.web.sb.controller,AccountMemberController,0,63,0,0,0,14,0,5,0,5
AccountSystemWebSpringBoot,za.ac.nwu.as.web.sb.controller,AccountTransactionController,0,101,0,0,0,20,0,6,0,6
AccountSystemWebSpringBoot,za.ac.nwu.as.web.sb.controller,AccountTypeController,0,81,0,0,0,17,0,5,0,5
